id,publication_date,abstract,title
10.1371/journal.pone.0164197,2016-10-05T00:00:00Z,"Background and Objective: Approximately 20% of US children and adolescents consume pizza on any given day; and pizza intake is associated with higher intakes of energy, sodium, and saturated fat. The reformulation of pizza products has yet to be evaluated as a viable option to improve diets of the US youth. This study modeled the effect on nutrient intakes of two potential pizza reformulation strategies based on the standards established by the Nestlé Nutritional Profiling System (NNPS). Methods: Dietary intakes were retrieved from the first 24hr-recall of the National Health and Nutrition Examination Survey (NHANES) 2011–12, for 2655 participants aged 4–19 years. The composition of pizzas in the NHANES food database (n = 69) were compared against the NNPS standards for energy, total fat, saturated fat, sodium, added sugars, and protein. In a reformulation scenario, the nutrient content of pizzas was adjusted to the NNPS standards if these were not met. In a substitution scenario, pizzas that did not meet the standards were replaced by the closest pizza, based on nutrient content, that met all of the NNPS standards. Results: Pizzas consistent with all the NNPS standards (29% of all pizzas) were significantly lower in energy, saturated fat and sodium than pizzas that were not. Among pizza consumers, modeled intakes in the reformulation and substitution scenarios were lower in energy (-14 and -45kcal, respectively), saturated fat (-1.2 and -2.7g), and sodium (-143 and -153mg) compared to baseline. Conclusions: Potential industry wide reformulation of a single food category or intra-category food substitutions may positively impact dietary intakes of US children and adolescents. Further promotion and support of these complimentary strategies may facilitate the adoption and implementation of reformulation standards. ",Modeled Dietary Impact of Pizza Reformulations in US Children and Adolescents
10.1371/journal.pone.0125869,2015-04-29T00:00:00Z,"
The recent rise in obesity is widely attributed to changes in the dietary environment (e.g., increased availability of energy-dense foods and larger portion sizes). However, a critical feature of our “obesogenic environment” may have been overlooked - the dramatic increase in “dietary variability” (the tendency for specific mass-produced foods to be available in numerous varieties that differ in energy content). In this study we tested the hypothesis that dietary variability compromises the control of food intake in humans. Specifically, we examined the effects of dietary variability in pepperoni pizza on two key outcome variables; i) compensation for calories in pepperoni pizza and ii) expectations about the satiating properties of pepperoni pizza (expected satiation). We reasoned that dietary variability might generate uncertainty about the postingestive effects of a food. An internet-based questionnaire was completed by 199 adults. This revealed substantial variation in exposure to different varieties of pepperoni pizza. In a follow-up study (n= 66; 65% female), high pizza variability was associated with i) poorer compensation for calories in pepperoni pizza and ii) lower expected satiation for pepperoni pizza. Furthermore, the effect of uncertainty on caloric compensation was moderated by individual differences in decision making (loss aversion). For the first time, these findings highlight a process by which dietary variability may compromise food-intake control in humans. This is important because it exposes a new feature of Western diets (processed foods in particular) that might contribute to overeating and obesity.
",So Many Brands and Varieties to Choose from: Does This Compromise the Control of Food Intake in Humans?
10.1371/journal.pone.0183657,2017-09-05T00:00:00Z,"
Pizza being the most popular food worldwide, quality and sensory appeal are important considerations during its modification effort. This study was aimed to evaluate the quality of pizza made using two different sources of proteins, chickpea (Cicer arietinum) flour and dried carp fish powder (Cyprinus carpio). Analysis indicated nutrients richness specificity of chickpea flour (higher fiber, energy, iron, zinc, linoleic acid and total nonessential amino acids) and dried carp fish powder (higher contents of protein, fats, ash, oleic acid and total essential amino acids) complementing wheat flour to enhance nutritional value of pizza. Total plate count and thiobarbituric acid were increased (P<0.05) in dried carp fish powder after 45 days of storage, but no Coliform were detected. Wheat flour was substituted with 5, 7.5 and 10% chickpea flour or dried carp fish powder and chemical, textural, sensory and storage evaluation parameters of in pizza were investigated. Dried carp fish powder increased (P<0.05) contents of protein, ash, fats, zinc and protein digestibility of pizza. Chickpea flour increased iron and zinc contents of the pizza. Water activity (aw) was decreased in fish powder and chickpea pizza. Pizza firmness and gumminess were significantly (p<0.05) increased at every level of protein source, but cohesiveness was decreased with 10% chickpea flour. Pizza chewiness was the same (P>0.05) across the levels of two protein sources. Springiness was decreased (P<0.05) with high level (10%) dried fish powder and low/intermediate level of chickpea flour. Chickpea and dried carp fish incorporation up to 7.50% in pizza at the expense of wheat flour had no effect (P>0.05) on all sensorial parameters except for odor values. The results could be useful in utilization of chickpea flour and carp fish powder in designing nutritious pizza for consumers.
",The impact of using chickpea flour and dried carp fish powder on pizza quality
10.1371/journal.pone.0161918,2016-09-01T00:00:00Z,"Background: The role of dietary lycopene in chronic disease prevention is not well known. Methods: This study examined intake of lycopene and other antioxidants from lycopene-rich foods (e.g., pizza and pasta) simultaneously with plasma levels of lycopene and other antioxidants in a representative cross-sectional sample (187 Blacks, 182 Whites, 40–79 years old) from the Southern Community Cohort Study (SCCS). The SCCS is an ongoing study conducted in populations at high risk for chronic diseases living in Southeastern United States. Dietary intake was assessed using a validated food frequency questionnaire (FFQ), and plasma levels of lycopene and other antioxidants were measured at baseline (2002–2005). The participants were classified into tertiles according to consumption of pizza and pasta food groups. Results: Lycopene dietary intake and plasma lycopene concentrations were significantly higher in the highest (tertile 3) compared to tertiles 1 and 2 (both P < 0.01). Total energy intake ranged from 1964.3 ± 117.1 kcal/day (tertile 1) to 3277.7 ± 115.8 kcal/day (tertile 3) (P<0.0001). After adjusting for age and energy intake, total dietary fat, saturated fatty acids, trans-fatty acids, and sodium intakes were significantly higher in tertile 3 than tertiles 2 and 1 (all P <0.01). Vitamin C intake was significantly lower in tertile 3 than tertiles 1 and 2 (P = 0.003). Except for γ-tocopherol being higher in tertile 3 than tertiles 1 and 2 (P = 0.015), the plasma concentrations of antioxidants were lower in tertile 3 than tertiles 1 and 2 (β-carotene, α-carotene, lutein and zeaxanthin, all P<0.05). Conclusions: In the SCCS population, pizza and pasta were the main sources of dietary lycopene and their intake was associated with plasma lycopene concentration. Diets with frequent pizza and pasta consumption were high in energy, saturated fatty acids, trans-fatty acids, sodium and low in other antioxidants. Future studies of lycopene as a protective dietary factor against chronic disease should consider the overall nutritional quality of lycopene-containing foods. ",Plasma Lycopene Is Associated with Pizza and Pasta Consumption in Middle-Aged and Older African American and White Adults in the Southeastern USA in a Cross-Sectional Study
10.1371/journal.pone.0126358,2015-05-07T00:00:00Z,"
While social media has become an important platform for social reputation, the emotional responses of users toward bad news have not been investigated thoroughly. We analyzed a total of 20,773 Twitter messages by 15,513 users to assess the influence of bad news and public apology in social media. Based on both computerized, quantitative sentiment analysis and in-depth qualitative analysis, we found that rapid public apology effectively and immediately reduced the level of negative sentiment, where the degree of change in sentiments differed by the type of interactions users engaged in. The majority of users who directly conversed with corporate representatives on the new media were not typical consumers, but experts and practitioners. We extend the existing cognitive model and suggest the audiences’ psychological reaction model to describe the information processing process during and after an organizational crisis and response. We also discuss various measures through which companies can respond to a crisis properly in social media in a fashion that is different from conventional mass media.
",The Effect of Bad News and CEO Apology of Corporate on User Responses in Social Media
10.1371/journal.pone.0103543,2014-07-25T00:00:00Z,"Background: American adults consume 11.3% of total daily calories from foods and beverages from fast food restaurants. The contribution of different types of fast food restaurants to the diets of US children is unknown. Objective: To estimate the consumption of energy, sodium, added sugars, and solid fats among US children ages 4–19 y by fast food restaurant type. Methods: Analyses used the first 24-h recall for 12,378 children in the 2003–2010 cycles of the nationally representative National Health and Nutrition Examination Survey (NHANES 2003–2010). NHANES data identify foods by location of origin, including stores and fast food restaurants (FFR). A novel custom algorithm divided FFRs into 8 segments and assigned meals and snacks to each. These included burger, pizza, sandwich, Mexican, Asian, fish, and coffee/snack restaurants. The contribution of each restaurant type to intakes of energy and other dietary constituents was then assessed by age group (4–11 y and 12–19 y) and by race/ethnicity. Results: Store-bought foods and beverages provided 64.8% of energy, 61.9% of sodium, 68.9% of added sugars, and 60.1% of solid fats. FFRs provided 14.1% of energy, 15.9% of sodium, 10.4% of added sugars and 17.9% of solid fats. Among FFR segments, burger restaurants provided 6.2% of total energy, 5.8% of sodium, 6.2% of added sugars, and 7.6% of solid fats. Less energy was provided by pizza (3.3%), sandwich (1.4%), Mexican (1.3%), and chicken restaurants (1.2%). Non-Hispanic black children obtained a greater proportion of their total energy (7.4%), sodium (7.1%), and solid fats (9.5%) from burger restaurants as compared to non-Hispanic white children (6.0% of energy, 5.5% of sodium, and 7.3% of solid fat). Conclusions: These novel analyses, based on consumption data by fast food market segment, allow public health stakeholders to better monitor the effectiveness of industry efforts to promote healthier menu options. ",A New Method to Monitor the Contribution of Fast Food Restaurants to the Diets of US Children
10.1371/journal.pone.0188293,2017-11-29T00:00:00Z,"
Electroencephalography (EEG) has recently been considered for use in rehabilitation of people with motor deficits. EEG data from the motor imagery of different body movements have been used, for instance, as an EEG-based control method to send commands to rehabilitation devices that assist people to perform a variety of different motor tasks. However, it is both time and effort consuming to go through data collection and model training for every rehabilitation task. In this paper, we investigate the possibility of using an EEG model from one type of motor imagery (e.g.: elbow extension and flexion) to classify EEG from other types of motor imagery activities (e.g.: open a drawer). In order to study the problem, we focused on the elbow joint. Specifically, nine kinesthetic motor imagery tasks involving the elbow were investigated in twelve healthy individuals who participated in the study. While results reported that models from goal-oriented motor imagery tasks had higher accuracy than models from the simple joint tasks in intra-task testing (e.g., model from elbow extension and flexion task was tested on EEG data collected from elbow extension and flexion task), models from simple joint tasks had higher accuracies than the others in inter-task testing (e.g., model from elbow extension and flexion task tested on EEG data collected from drawer opening task). Simple single joint motor imagery tasks could, therefore, be considered for training models to potentially reduce the number of repetitive data acquisitions and model training in rehabilitation applications.
",Evaluating the versatility of EEG models generated from motor imagery tasks: An exploratory investigation on upper-limb elbow-centered motor imagery tasks
10.1371/journal.pone.0035940,2012-05-07T00:00:00Z,"
        We investigated how objects come to serve as landmarks in spatial memory, and more specifically how they form part of an allocentric cognitive map. Participants performing a virtual driving task incidentally learned the layout of a virtual town and locations of objects in that town. They were subsequently tested on their spatial and recognition memory for the objects. To assess whether the objects were encoded allocentrically we examined pointing consistency across tested viewpoints. In three experiments, we found that spatial memory for objects at navigationally relevant locations was more consistent across tested viewpoints, particularly when participants had more limited experience of the environment. When participants’ attention was focused on the appearance of objects, the navigational relevance effect was eliminated, whereas when their attention was focused on objects’ locations, this effect was enhanced, supporting the hypothesis that when objects are processed in the service of navigation, rather than merely being viewed as objects, they engage qualitatively distinct attentional systems and are incorporated into an allocentric spatial representation. The results are consistent with evidence from the neuroimaging literature that when objects are relevant to navigation, they not only engage the ventral “object processing stream”, but also the dorsal stream and medial temporal lobe memory system classically associated with allocentric spatial memory.
      ",When Do Objects Become Landmarks? A VR Study of the Effect of Task Relevance on Spatial Memory
10.1371/journal.pone.0029105,2011-12-29T00:00:00Z,"
        Phosphate toxicity is an important determinant of mortality in patients with chronic kidney disease (CKD), particularly those undergoing hemodialysis treatments. CKD patients are advised to take a low phosphate-containing diet, and are additionally prescribed with phosphate-lowering drugs. Since these patients usually seek guidance from their physicians and nurses for their dietary options, we conducted a survey to determine the levels of awareness regarding the high phosphate content in commercially processed food and drinks among medical and nursing students at the Hirosaki University School of Medicine in Japan. For this survey, 190 medical and nursing students (average age 21.7±3 years) were randomly selected, and provided with a list of questions aimed at evaluating their awareness of food and drinks containing artificially added phosphate ingredients. While 98.9% of these students were aware of the presence of sugar in commercially available soda drinks, only 6.9% were aware of the presence of phosphate (phosphoric acid). Similarly, only 11.6% of these students were aware of the presence of phosphate in commercially processed food, such as hamburgers and pizza. Moreover, around two thirds of the surveyed students (67.7%) were unaware of the harmful effects of unrestricted consumption of phosphate-containing food and drinks. About 28% of the surveyed students consume such “fast food” once a week, while 40% drink at least 1∼5 cans of soda drinks/week. After realizing the potential long-term risks of consuming excessive phosphate-containing food and drinks, 40.5% of the survey participants considered reducing their phosphate intake by minimizing the consumption of commercially processed “fast food” items and soda drinks. Moreover, another 48.4% of students showed interest in obtaining more information on the negative health effects of consuming excessive amounts of phosphate. This survey emphasizes the need for educational initiative to raise awareness of the health risks posed by excessive consumption of phosphate additives.
      ",Lack of Awareness among Future Medical Professionals about the Risk of Consuming Hidden Phosphate-Containing Processed Food and Drinks
10.1371/journal.pbio.0030307,2005-08-16T00:00:00Z,NA,A Recipe for Self-Renewing Brain
