priority_number,priority_date,application_number,provisional,n,priority_country,application_country,filing_order,duplicate_priority
US2016578323F 2016-09-20,2016-09-20,US2016578323F 2016-09-20,FALSE,1,US,US,1,FALSE
US14954632A 2015-11-30,2015-11-30,US14954632A 2015-11-30,FALSE,1,US,US,1,FALSE
US15360203A 2016-11-23,2016-11-23,US15360203A 2016-11-23,FALSE,1,US,US,1,FALSE
US62203383P 2015-08-10,2015-08-10,US15454805A 2017-03-09,TRUE,2,US,US,1,FALSE
US62200764P 2015-08-04,2015-08-04,US15263985A 2016-09-13,TRUE,2,US,US,1,FALSE
KR201528901A 2015-03-02,2015-03-02,US15057264A 2016-03-01,FALSE,1,KR,US,1,FALSE
US2015196885P 2015-07-24,2015-07-24,US15217944A 2016-07-22,TRUE,3,US,US,1,FALSE
US2008100721P 2008-09-27,2008-09-27,US14808174A 2015-07-24,TRUE,22,US,US,1,FALSE
FR20142036A 2014-09-12,2014-09-12,US14848061A 2015-09-08,FALSE,1,FR,US,1,FALSE
US14970643A 2015-12-16,2015-12-16,US14970643A 2015-12-16,FALSE,1,US,US,1,FALSE
US201347157A 2013-10-07,2013-10-07,US14883633A 2015-10-15,FALSE,3,US,US,1,FALSE
IL236752A 2015-01-15,2015-01-15,US15134413A 2016-04-21,FALSE,1,IL,US,1,FALSE
GB20153083A 2015-02-24,2015-02-24,US15051948A 2016-02-24,FALSE,1,GB,US,1,FALSE
US15010351A 2016-01-29,2016-01-29,US15010351A 2016-01-29,FALSE,1,US,US,1,FALSE
US62301858P 2016-03-01,2016-03-01,US15206671A 2016-07-11,TRUE,1,US,US,1,FALSE
US15053888A 2016-02-25,2016-02-25,US15053888A 2016-02-25,FALSE,1,US,US,1,FALSE
US13926517A 2013-06-25,2013-06-25,US13926517A 2013-06-25,FALSE,1,US,US,1,FALSE
US62133061P 2015-03-13,2015-03-13,US15069675A 2016-03-14,TRUE,1,US,US,1,FALSE
US13653475A 2012-10-17,2012-10-17,US13653475A 2012-10-17,FALSE,1,US,US,1,FALSE
US14622134A 2015-02-13,2015-02-13,US14622134A 2015-02-13,FALSE,1,US,US,1,FALSE
JP2015122335A 2015-06-17,2015-06-17,US15322008A 2016-12-23,FALSE,2,JP,US,1,FALSE
US2014940805P 2014-02-17,2014-02-17,US14533756A 2014-11-05,TRUE,2,US,US,1,FALSE
US62271212P 2015-12-22,2015-12-22,US15486005A 2017-04-12,TRUE,1,US,US,1,FALSE
US14337149A 2014-07-21,2014-07-21,US14337149A 2014-07-21,FALSE,1,US,US,1,FALSE
US15346251A 2016-11-08,2016-11-08,US15346251A 2016-11-08,FALSE,1,US,US,1,FALSE
US2014965784P 2014-02-08,2014-02-08,US15530341A 2016-12-27,TRUE,1,US,US,1,FALSE
US62066793P 2014-10-21,2014-10-21,US14919645A 2015-10-21,TRUE,1,US,US,1,FALSE
US62079119P 2014-11-13,2014-11-13,US14824467A 2015-08-12,TRUE,1,US,US,1,FALSE
US2016620248F 2016-09-02,2016-09-02,US2016620248F 2016-09-02,FALSE,1,US,US,1,FALSE
US14835329A 2015-08-25,2015-08-25,US14835329A 2015-08-25,FALSE,1,US,US,1,FALSE
US15174819A 2016-06-06,2016-06-06,US15174819A 2016-06-06,FALSE,1,US,US,1,FALSE
US2013898275P 2013-10-31,2013-10-31,US14530548A 2014-10-31,TRUE,2,US,US,1,FALSE
US2015274112P 2015-12-31,2015-12-31,US15341809A 2016-11-02,TRUE,8,US,US,1,FALSE
US201476360P 2014-11-06,2014-11-06,US15257640A 2016-09-06,TRUE,7,US,US,1,FALSE
KR2015101007A 2015-07-16,2015-07-16,US15208639A 2016-07-13,FALSE,1,KR,US,1,FALSE
JP2015181748A 2015-09-15,2015-09-15,US14982273A 2015-12-29,FALSE,1,JP,US,1,FALSE
US14051213A 2013-10-10,2013-10-10,US14218790A 2014-03-18,FALSE,41,US,US,1,FALSE
US14521033A 2014-10-22,2014-10-22,US14521033A 2014-10-22,FALSE,1,US,US,1,FALSE
US2015197336P 2015-07-27,2015-07-27,US15218609A 2016-07-25,TRUE,3,US,US,1,FALSE
US13551266A 2012-07-17,2012-07-17,US13601169A 2012-08-31,FALSE,23,US,US,1,FALSE
US201426292P 2014-07-18,2014-07-18,US14839174A 2015-08-28,TRUE,8,US,US,1,FALSE
US201414650P 2014-06-19,2014-06-19,US14689008A 2015-04-16,TRUE,5,US,US,1,FALSE
TW2016102090A 2016-01-22,2016-01-22,US15131844A 2016-04-18,FALSE,2,TW,US,1,FALSE
US62045209P 2014-09-03,2014-09-03,US14692808A 2015-04-22,TRUE,2,US,US,1,FALSE
EP2012306341A 2012-10-26,2012-10-26,US14438601A 2015-04-24,FALSE,2,EP,US,1,FALSE
FR201552813A 2015-04-01,2015-04-01,US15087883A 2016-03-31,FALSE,1,FR,US,1,FALSE
US13859424A 2013-04-09,2013-04-09,US13859424A 2013-04-09,FALSE,1,US,US,1,FALSE
US201477441P 2014-11-10,2014-11-10,US14935759A 2015-11-09,TRUE,3,US,US,1,FALSE
US201490751P 2014-12-11,2014-12-11,US14933265A 2015-11-05,TRUE,5,US,US,1,FALSE
US2016326921P 2016-04-25,2016-04-25,US15495497A 2017-04-24,TRUE,3,US,US,1,FALSE
US201429586P 2014-07-28,2014-07-28,US14759864A 2015-07-08,TRUE,4,US,US,1,FALSE
US14314520A 2014-06-25,2014-06-25,US14314520A 2014-06-25,FALSE,1,US,US,1,FALSE
US15331989A 2016-10-24,2016-10-24,US15331989A 2016-10-24,FALSE,1,US,US,1,FALSE
US2016326942P 2016-04-25,2016-04-25,US15387554A 2016-12-21,TRUE,3,US,US,1,FALSE
US15136276A 2016-04-22,2016-04-22,US15136276A 2016-04-22,FALSE,1,US,US,1,FALSE
US2015231481P 2015-07-06,2015-07-06,US14999343A 2016-04-25,TRUE,3,US,US,1,FALSE
GB201210010A 2012-06-07,2012-06-07,US15169979A 2016-06-01,FALSE,3,GB,US,1,FALSE
US15044917A 2016-02-16,2016-02-16,US15044917A 2016-02-16,FALSE,1,US,US,1,FALSE
JP2015217657A 2015-11-05,2015-11-05,US15461552A 2017-03-17,FALSE,3,JP,US,1,FALSE
US2013861886P 2013-08-02,2013-08-02,US15187764A 2016-06-20,TRUE,6,US,US,1,FALSE
US201427021P 2014-07-21,2014-07-21,US14798757A 2015-07-14,TRUE,27,US,US,1,FALSE
US13975590A 2013-08-26,2013-08-26,US15147766A 2016-05-05,FALSE,4,US,US,1,FALSE
US2013916727P 2013-12-16,2013-12-16,US14571759A 2014-12-16,TRUE,2,US,US,1,FALSE
US15061262A 2016-03-04,2016-03-04,US15061262A 2016-03-04,FALSE,1,US,US,1,FALSE
